Date,Year,Month_name,Day,Hour,Weekday,Work Day,Seasons,Holiday,Functioning Day,Temp_c,Humidity,Humidity_cat,Wind_m_s,Wind_cat,Rain_mm,Rain_cat,Snow_cm,Snow_cat,Bike_count
2017-12-01,2017,Dec,1,14,Friday,True,Winter,No Holiday,Yes,3.0,26,Low,2.0,Calm,0.0,No Rain,0.0,No Snow,447
2017-12-01,2017,Dec,1,15,Friday,True,Winter,No Holiday,Yes,2.1,36,Low,3.2,Light,0.0,No Rain,0.0,No Snow,463
2017-12-01,2017,Dec,1,16,Friday,True,Winter,No Holiday,Yes,1.2,54,Moderate,4.2,Moderate,0.0,No Rain,0.0,No Snow,484
2017-12-01,2017,Dec,1,17,Friday,True,Winter,No Holiday,Yes,0.8,58,Moderate,1.6,Calm,0.0,No Rain,0.0,No Snow,555
2017-12-01,2017,Dec,1,18,Friday,True,Winter,No Holiday,Yes,0.6,66,High,1.4,Calm,0.0,No Rain,0.0,No Snow,862
2017-12-01,2017,Dec,1,19,Friday,True,Winter,No Holiday,Yes,0.0,77,High,1.7,Calm,0.0,No Rain,0.0,No Snow,600
2017-12-01,2017,Dec,1,20,Friday,True,Winter,No Holiday,Yes,-0.3,79,High,1.5,Calm,0.0,No Rain,0.0,No Snow,426
2017-12-01,2017,Dec,1,21,Friday,True,Winter,No Holiday,Yes,-0.8,81,Very High,0.8,Calm,0.0,No Rain,0.0,No Snow,405
2017-12-01,2017,Dec,1,22,Friday,True,Winter,No Holiday,Yes,-0.9,83,Very High,1.5,Calm,0.0,No Rain,0.0,No Snow,398
2017-12-01,2017,Dec,1,23,Friday,True,Winter,No Holiday,Yes,-1.3,84,Very High,1.0,Calm,0.0,No Rain,0.0,No Snow,323
2017-12-02,2017,Dec,2,0,Saturday,False,Winter,No Holiday,Yes,-1.8,87,Very High,1.1,Calm,0.0,No Rain,0.0,No Snow,328
2017-12-02,2017,Dec,2,1,Saturday,False,Winter,No Holiday,Yes,-2.2,86,Very High,0.6,Calm,0.0,No Rain,0.0,No Snow,308
2017-12-02,2017,Dec,2,2,Saturday,False,Winter,No Holiday,Yes,-2.9,86,Very High,1.5,Calm,0.0,No Rain,0.0,No Snow,262
2017-12-02,2017,Dec,2,3,Saturday,False,Winter,No Holiday,Yes,-3.5,81,Very High,2.2,Light,0.0,No Rain,0.0,No Snow,167
2017-12-02,2017,Dec,2,4,Saturday,False,Winter,No Holiday,Yes,-3.8,79,High,2.0,Calm,0.0,No Rain,0.0,No Snow,89
2017-12-02,2017,Dec,2,5,Saturday,False,Winter,No Holiday,Yes,-4.0,79,High,1.5,Calm,0.0,No Rain,0.0,No Snow,79
2017-12-02,2017,Dec,2,6,Saturday,False,Winter,No Holiday,Yes,-4.3,82,Very High,2.1,Light,0.0,No Rain,0.0,No Snow,70
2017-12-02,2017,Dec,2,7,Saturday,False,Winter,No Holiday,Yes,-4.4,81,Very High,2.5,Light,0.0,No Rain,0.0,No Snow,146
2017-12-02,2017,Dec,2,8,Saturday,False,Winter,No Holiday,Yes,-4.2,79,High,2.1,Light,0.0,No Rain,0.0,No Snow,219
2017-12-02,2017,Dec,2,9,Saturday,False,Winter,No Holiday,Yes,-2.9,68,High,1.6,Calm,0.0,No Rain,0.0,No Snow,328
2017-12-02,2017,Dec,2,10,Saturday,False,Winter,No Holiday,Yes,-0.4,57,Moderate,1.6,Calm,0.0,No Rain,0.0,No Snow,334
2017-12-02,2017,Dec,2,11,Saturday,False,Winter,No Holiday,Yes,1.9,49,Moderate,1.8,Calm,0.0,No Rain,0.0,No Snow,388
2017-12-02,2017,Dec,2,12,Saturday,False,Winter,No Holiday,Yes,4.3,41,Moderate,1.3,Calm,0.0,No Rain,0.0,No Snow,479
2017-12-02,2017,Dec,2,13,Saturday,False,Winter,No Holiday,Yes,6.0,36,Low,1.8,Calm,0.0,No Rain,0.0,No Snow,606
2017-12-02,2017,Dec,2,14,Saturday,False,Winter,No Holiday,Yes,7.3,35,Low,1.3,Calm,0.0,No Rain,0.0,No Snow,611
2017-12-02,2017,Dec,2,15,Saturday,False,Winter,No Holiday,Yes,7.6,41,Moderate,2.3,Light,0.0,No Rain,0.0,No Snow,589
2017-12-02,2017,Dec,2,16,Saturday,False,Winter,No Holiday,Yes,6.4,48,Moderate,2.6,Light,0.0,No Rain,0.0,No Snow,618
2017-12-02,2017,Dec,2,17,Saturday,False,Winter,No Holiday,Yes,6.0,51,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,572
2017-12-02,2017,Dec,2,18,Saturday,False,Winter,No Holiday,Yes,5.5,53,Moderate,1.5,Calm,0.0,No Rain,0.0,No Snow,489
2017-12-02,2017,Dec,2,19,Saturday,False,Winter,No Holiday,Yes,5.0,52,Moderate,2.3,Light,0.0,No Rain,0.0,No Snow,385
2017-12-02,2017,Dec,2,20,Saturday,False,Winter,No Holiday,Yes,4.6,51,Moderate,1.2,Calm,0.0,No Rain,0.0,No Snow,359
2017-12-02,2017,Dec,2,21,Saturday,False,Winter,No Holiday,Yes,4.1,55,Moderate,1.2,Calm,0.0,No Rain,0.0,No Snow,377
2017-12-02,2017,Dec,2,22,Saturday,False,Winter,No Holiday,Yes,3.5,54,Moderate,1.5,Calm,0.0,No Rain,0.0,No Snow,354
2017-12-02,2017,Dec,2,23,Saturday,False,Winter,No Holiday,Yes,4.0,56,Moderate,1.0,Calm,0.0,No Rain,0.0,No Snow,366
2017-12-03,2017,Dec,3,0,Sunday,False,Winter,No Holiday,Yes,4.0,58,Moderate,1.4,Calm,0.0,No Rain,0.0,No Snow,342
2017-12-03,2017,Dec,3,1,Sunday,False,Winter,No Holiday,Yes,3.9,69,High,1.7,Calm,0.0,No Rain,0.0,No Snow,227
2017-12-03,2017,Dec,3,2,Sunday,False,Winter,No Holiday,Yes,3.3,79,High,1.4,Calm,0.0,No Rain,0.0,No Snow,228
2017-12-03,2017,Dec,3,3,Sunday,False,Winter,No Holiday,Yes,3.4,71,High,1.6,Calm,0.5,No Rain,0.0,No Snow,117
2017-12-03,2017,Dec,3,4,Sunday,False,Winter,No Holiday,Yes,3.5,73,High,1.0,Calm,0.0,No Rain,0.0,No Snow,76
2017-12-03,2017,Dec,3,5,Sunday,False,Winter,No Holiday,Yes,3.9,75,High,1.9,Calm,0.0,No Rain,0.0,No Snow,32
2017-12-03,2017,Dec,3,6,Sunday,False,Winter,No Holiday,Yes,3.4,86,Very High,2.5,Light,1.0,No Rain,0.0,No Snow,13
2017-12-03,2017,Dec,3,7,Sunday,False,Winter,No Holiday,Yes,3.1,91,Very High,1.2,Calm,0.0,No Rain,0.0,No Snow,22
2017-12-03,2017,Dec,3,8,Sunday,False,Winter,No Holiday,Yes,3.2,92,Very High,1.8,Calm,0.0,No Rain,0.0,No Snow,85
2017-12-03,2017,Dec,3,9,Sunday,False,Winter,No Holiday,Yes,3.5,91,Very High,1.8,Calm,2.5,Light,0.0,No Snow,152
2017-12-03,2017,Dec,3,10,Sunday,False,Winter,No Holiday,Yes,4.4,89,Very High,2.2,Light,0.0,No Rain,0.0,No Snow,200
2017-12-03,2017,Dec,3,11,Sunday,False,Winter,No Holiday,Yes,5.1,87,Very High,1.4,Calm,0.0,No Rain,0.0,No Snow,273
2017-12-03,2017,Dec,3,12,Sunday,False,Winter,No Holiday,Yes,5.8,85,Very High,1.7,Calm,0.0,No Rain,0.0,No Snow,333
2017-12-03,2017,Dec,3,13,Sunday,False,Winter,No Holiday,Yes,6.8,81,Very High,1.9,Calm,0.0,No Rain,0.0,No Snow,495
2017-12-03,2017,Dec,3,14,Sunday,False,Winter,No Holiday,Yes,7.6,76,High,1.2,Calm,0.0,No Rain,0.0,No Snow,563
2017-12-03,2017,Dec,3,15,Sunday,False,Winter,No Holiday,Yes,8.0,73,High,1.6,Calm,0.0,No Rain,0.0,No Snow,621
2017-12-03,2017,Dec,3,16,Sunday,False,Winter,No Holiday,Yes,7.6,77,High,1.6,Calm,0.0,No Rain,0.0,No Snow,598
2017-12-03,2017,Dec,3,17,Sunday,False,Winter,No Holiday,Yes,6.7,82,Very High,1.5,Calm,0.0,No Rain,0.0,No Snow,545
2017-12-03,2017,Dec,3,18,Sunday,False,Winter,No Holiday,Yes,6.0,84,Very High,1.9,Calm,0.0,No Rain,0.0,No Snow,443
2017-12-03,2017,Dec,3,19,Sunday,False,Winter,No Holiday,Yes,5.7,85,Very High,1.7,Calm,0.0,No Rain,0.0,No Snow,422
2017-12-03,2017,Dec,3,20,Sunday,False,Winter,No Holiday,Yes,5.2,87,Very High,1.4,Calm,0.0,No Rain,0.0,No Snow,397
2017-12-03,2017,Dec,3,21,Sunday,False,Winter,No Holiday,Yes,4.7,87,Very High,1.2,Calm,0.0,No Rain,0.0,No Snow,385
2017-12-03,2017,Dec,3,22,Sunday,False,Winter,No Holiday,Yes,4.3,89,Very High,1.8,Calm,0.0,No Rain,0.0,No Snow,350
2017-12-03,2017,Dec,3,23,Sunday,False,Winter,No Holiday,Yes,3.9,90,Very High,1.3,Calm,0.0,No Rain,0.0,No Snow,303
2017-12-04,2017,Dec,4,0,Monday,True,Winter,No Holiday,Yes,4.2,88,Very High,0.6,Calm,0.0,No Rain,0.0,No Snow,285
2017-12-04,2017,Dec,4,1,Monday,True,Winter,No Holiday,Yes,4.3,87,Very High,0.5,Calm,0.0,No Rain,0.0,No Snow,186
2017-12-04,2017,Dec,4,2,Monday,True,Winter,No Holiday,Yes,4.4,87,Very High,1.8,Calm,0.0,No Rain,0.0,No Snow,112
2017-12-04,2017,Dec,4,3,Monday,True,Winter,No Holiday,Yes,3.6,85,Very High,2.3,Light,0.0,No Rain,0.0,No Snow,65
2017-12-04,2017,Dec,4,4,Monday,True,Winter,No Holiday,Yes,2.8,89,Very High,1.5,Calm,0.0,No Rain,0.0,No Snow,41
2017-12-04,2017,Dec,4,5,Monday,True,Winter,No Holiday,Yes,2.0,83,Very High,2.7,Light,0.0,No Rain,0.0,No Snow,82
2017-12-04,2017,Dec,4,6,Monday,True,Winter,No Holiday,Yes,1.2,76,High,3.7,Light,0.1,No Rain,0.0,No Snow,200
2017-12-04,2017,Dec,4,7,Monday,True,Winter,No Holiday,Yes,0.2,68,High,3.4,Light,0.0,No Rain,0.0,No Snow,498
2017-12-04,2017,Dec,4,8,Monday,True,Winter,No Holiday,Yes,-0.8,69,High,3.5,Light,0.0,No Rain,0.0,No Snow,937
2017-12-04,2017,Dec,4,9,Monday,True,Winter,No Holiday,Yes,-1.5,47,Moderate,4.2,Moderate,0.0,No Rain,0.0,No Snow,509
2017-12-04,2017,Dec,4,10,Monday,True,Winter,No Holiday,Yes,-1.1,40,Low,4.5,Moderate,0.0,No Rain,0.0,No Snow,311
2017-12-04,2017,Dec,4,11,Monday,True,Winter,No Holiday,Yes,-0.5,41,Moderate,4.1,Moderate,0.0,No Rain,0.0,No Snow,379
2017-12-04,2017,Dec,4,12,Monday,True,Winter,No Holiday,Yes,-0.3,38,Low,4.8,Moderate,0.0,No Rain,0.0,No Snow,393
2017-12-04,2017,Dec,4,13,Monday,True,Winter,No Holiday,Yes,0.0,30,Low,5.4,Moderate,0.0,No Rain,0.0,No Snow,391
2017-12-04,2017,Dec,4,14,Monday,True,Winter,No Holiday,Yes,0.1,27,Low,4.5,Moderate,0.0,No Rain,0.0,No Snow,338
2017-12-04,2017,Dec,4,15,Monday,True,Winter,No Holiday,Yes,-0.1,25,Low,5.8,Moderate,0.0,No Rain,0.0,No Snow,341
2017-12-04,2017,Dec,4,16,Monday,True,Winter,No Holiday,Yes,-0.2,23,Low,4.7,Moderate,0.0,No Rain,0.0,No Snow,375
2017-12-04,2017,Dec,4,17,Monday,True,Winter,No Holiday,Yes,-1.3,26,Low,5.3,Moderate,0.0,No Rain,0.0,No Snow,515
2017-12-04,2017,Dec,4,18,Monday,True,Winter,No Holiday,Yes,-2.1,29,Low,3.9,Light,0.0,No Rain,0.0,No Snow,807
2017-12-04,2017,Dec,4,19,Monday,True,Winter,No Holiday,Yes,-2.9,32,Low,3.2,Light,0.0,No Rain,0.0,No Snow,568
2017-12-04,2017,Dec,4,20,Monday,True,Winter,No Holiday,Yes,-3.6,38,Low,3.0,Light,0.0,No Rain,0.0,No Snow,398
2017-12-04,2017,Dec,4,21,Monday,True,Winter,No Holiday,Yes,-4.6,43,Moderate,4.5,Moderate,0.0,No Rain,0.0,No Snow,397
2017-12-04,2017,Dec,4,22,Monday,True,Winter,No Holiday,Yes,-5.3,45,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,353
2017-12-04,2017,Dec,4,23,Monday,True,Winter,No Holiday,Yes,-5.8,44,Moderate,2.4,Light,0.0,No Rain,0.0,No Snow,248
2017-12-05,2017,Dec,5,0,Tuesday,True,Winter,No Holiday,Yes,-6.1,42,Moderate,2.6,Light,0.0,No Rain,0.0,No Snow,216
2017-12-05,2017,Dec,5,1,Tuesday,True,Winter,No Holiday,Yes,-6.5,41,Moderate,2.8,Light,0.0,No Rain,0.0,No Snow,198
2017-12-05,2017,Dec,5,2,Tuesday,True,Winter,No Holiday,Yes,-6.8,41,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,124
2017-12-05,2017,Dec,5,3,Tuesday,True,Winter,No Holiday,Yes,-6.9,39,Low,2.0,Calm,0.0,No Rain,0.0,No Snow,62
2017-12-05,2017,Dec,5,4,Tuesday,True,Winter,No Holiday,Yes,-7.2,34,Low,3.0,Light,0.0,No Rain,0.0,No Snow,42
2017-12-05,2017,Dec,5,5,Tuesday,True,Winter,No Holiday,Yes,-7.4,33,Low,2.6,Light,0.0,No Rain,0.0,No Snow,82
2017-12-05,2017,Dec,5,6,Tuesday,True,Winter,No Holiday,Yes,-7.4,34,Low,3.2,Light,0.0,No Rain,0.0,No Snow,172
2017-12-05,2017,Dec,5,7,Tuesday,True,Winter,No Holiday,Yes,-7.5,33,Low,2.2,Light,0.0,No Rain,0.0,No Snow,381
2017-12-05,2017,Dec,5,8,Tuesday,True,Winter,No Holiday,Yes,-8.1,36,Low,1.6,Calm,0.0,No Rain,0.0,No Snow,812
2017-12-05,2017,Dec,5,9,Tuesday,True,Winter,No Holiday,Yes,-7.6,31,Low,1.3,Calm,0.0,No Rain,0.0,No Snow,462
2017-12-05,2017,Dec,5,10,Tuesday,True,Winter,No Holiday,Yes,-5.5,26,Low,2.8,Light,0.0,No Rain,0.0,No Snow,269
2017-12-05,2017,Dec,5,11,Tuesday,True,Winter,No Holiday,Yes,-3.9,25,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,334
2017-12-05,2017,Dec,5,12,Tuesday,True,Winter,No Holiday,Yes,-2.3,25,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,321
2017-12-05,2017,Dec,5,13,Tuesday,True,Winter,No Holiday,Yes,-1.6,27,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,325
2017-12-05,2017,Dec,5,14,Tuesday,True,Winter,No Holiday,Yes,-1.1,28,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,334
2017-12-05,2017,Dec,5,15,Tuesday,True,Winter,No Holiday,Yes,-0.7,28,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,353
2017-12-05,2017,Dec,5,16,Tuesday,True,Winter,No Holiday,Yes,-0.5,30,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,435
2017-12-05,2017,Dec,5,17,Tuesday,True,Winter,No Holiday,Yes,-1.6,35,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,529
2017-12-05,2017,Dec,5,18,Tuesday,True,Winter,No Holiday,Yes,-2.6,40,Low,0.0,Calm,0.0,No Rain,0.0,No Snow,789
2017-12-05,2017,Dec,5,19,Tuesday,True,Winter,No Holiday,Yes,-3.2,45,Moderate,0.0,Calm,0.0,No Rain,0.0,No Snow,597
2017-12-05,2017,Dec,5,20,Tuesday,True,Winter,No Holiday,Yes,-3.5,46,Moderate,0.0,Calm,0.0,No Rain,0.0,No Snow,418
2017-12-05,2017,Dec,5,21,Tuesday,True,Winter,No Holiday,Yes,-3.7,47,Moderate,0.0,Calm,0.0,No Rain,0.0,No Snow,415
2017-12-05,2017,Dec,5,22,Tuesday,True,Winter,No Holiday,Yes,-2.8,49,Moderate,0.0,Calm,0.0,No Rain,0.0,No Snow,393
2017-12-05,2017,Dec,5,23,Tuesday,True,Winter,No Holiday,Yes,-2.5,59,Moderate,0.0,Calm,0.0,No Rain,0.0,No Snow,244
2017-12-06,2017,Dec,6,0,Wednesday,True,Winter,No Holiday,Yes,-2.8,77,High,0.0,Calm,0.1,No Rain,0.1,No Snow,145
2017-12-06,2017,Dec,6,1,Wednesday,True,Winter,No Holiday,Yes,-3.0,79,High,0.0,Calm,0.0,No Rain,0.3,Light,144
2017-12-06,2017,Dec,6,2,Wednesday,True,Winter,No Holiday,Yes,-3.0,79,High,0.0,Calm,0.0,No Rain,0.4,Light,117
2017-12-06,2017,Dec,6,3,Wednesday,True,Winter,No Holiday,Yes,-3.2,78,High,0.0,Calm,0.2,No Rain,0.4,Light,78
2017-12-06,2017,Dec,6,4,Wednesday,True,Winter,No Holiday,Yes,-3.4,75,High,0.0,Calm,0.0,No Rain,0.4,Light,58
2017-12-06,2017,Dec,6,5,Wednesday,True,Winter,No Holiday,Yes,-3.6,76,High,0.0,Calm,0.0,No Rain,0.4,Light,87
2017-12-06,2017,Dec,6,6,Wednesday,True,Winter,No Holiday,Yes,-3.7,76,High,0.0,Calm,0.0,No Rain,0.4,Light,142
2017-12-06,2017,Dec,6,7,Wednesday,True,Winter,No Holiday,Yes,-4.2,77,High,0.0,Calm,0.0,No Rain,0.3,Light,379
2017-12-06,2017,Dec,6,8,Wednesday,True,Winter,No Holiday,Yes,-4.2,78,High,0.0,Calm,0.0,No Rain,0.2,Light,802
2017-12-06,2017,Dec,6,9,Wednesday,True,Winter,No Holiday,Yes,-3.3,70,High,0.0,Calm,0.0,No Rain,0.2,Light,440
2017-12-06,2017,Dec,6,10,Wednesday,True,Winter,No Holiday,Yes,-0.9,64,High,0.0,Calm,0.0,No Rain,0.2,Light,307
2017-12-06,2017,Dec,6,11,Wednesday,True,Winter,No Holiday,Yes,1.6,57,Moderate,1.2,Calm,0.0,No Rain,0.0,No Snow,381
2017-12-06,2017,Dec,6,12,Wednesday,True,Winter,No Holiday,Yes,2.4,52,Moderate,0.9,Calm,0.0,No Rain,0.0,No Snow,405
2017-12-06,2017,Dec,6,13,Wednesday,True,Winter,No Holiday,Yes,4.2,47,Moderate,1.1,Calm,0.0,No Rain,0.0,No Snow,442
2017-12-06,2017,Dec,6,14,Wednesday,True,Winter,No Holiday,Yes,5.5,34,Low,1.0,Calm,0.0,No Rain,0.0,No Snow,416
2017-12-06,2017,Dec,6,15,Wednesday,True,Winter,No Holiday,Yes,5.5,31,Low,3.1,Light,0.0,No Rain,0.0,No Snow,412
2017-12-06,2017,Dec,6,16,Wednesday,True,Winter,No Holiday,Yes,5.3,37,Low,2.9,Light,0.0,No Rain,0.0,No Snow,496
2017-12-06,2017,Dec,6,17,Wednesday,True,Winter,No Holiday,Yes,4.1,60,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,239
2017-12-06,2017,Dec,6,18,Wednesday,True,Winter,No Holiday,Yes,1.7,90,Very High,1.0,Calm,0.3,No Rain,0.3,Light,204
2017-12-06,2017,Dec,6,19,Wednesday,True,Winter,No Holiday,Yes,1.2,92,Very High,0.7,Calm,0.0,No Rain,1.0,Light,205
2017-12-06,2017,Dec,6,20,Wednesday,True,Winter,No Holiday,Yes,1.2,94,Very High,0.6,Calm,0.0,No Rain,1.0,Light,190
2017-12-06,2017,Dec,6,21,Wednesday,True,Winter,No Holiday,Yes,1.1,92,Very High,0.5,Calm,0.7,No Rain,1.0,Light,165
2017-12-06,2017,Dec,6,22,Wednesday,True,Winter,No Holiday,Yes,1.3,92,Very High,0.6,Calm,0.0,No Rain,1.0,Light,222
2017-12-06,2017,Dec,6,23,Wednesday,True,Winter,No Holiday,Yes,1.3,92,Very High,0.6,Calm,0.0,No Rain,1.0,Light,193
2017-12-07,2017,Dec,7,0,Thursday,True,Winter,No Holiday,Yes,1.4,92,Very High,0.5,Calm,0.0,No Rain,0.9,Light,198
2017-12-07,2017,Dec,7,1,Thursday,True,Winter,No Holiday,Yes,1.5,92,Very High,0.4,Calm,0.0,No Rain,0.9,Light,218
2017-12-07,2017,Dec,7,2,Thursday,True,Winter,No Holiday,Yes,1.4,92,Very High,0.7,Calm,0.0,No Rain,0.9,Light,149
2017-12-07,2017,Dec,7,3,Thursday,True,Winter,No Holiday,Yes,1.9,91,Very High,1.4,Calm,0.0,No Rain,0.9,Light,102
2017-12-07,2017,Dec,7,4,Thursday,True,Winter,No Holiday,Yes,1.6,92,Very High,0.7,Calm,0.0,No Rain,0.9,Light,62
2017-12-07,2017,Dec,7,5,Thursday,True,Winter,No Holiday,Yes,1.5,92,Very High,1.1,Calm,0.0,No Rain,0.9,Light,83
2017-12-07,2017,Dec,7,6,Thursday,True,Winter,No Holiday,Yes,1.0,93,Very High,0.5,Calm,0.0,No Rain,0.9,Light,137
2017-12-07,2017,Dec,7,7,Thursday,True,Winter,No Holiday,Yes,0.3,93,Very High,0.5,Calm,0.0,No Rain,0.9,Light,367
2017-12-07,2017,Dec,7,8,Thursday,True,Winter,No Holiday,Yes,-0.2,96,Very High,0.8,Calm,0.0,No Rain,0.8,Light,754
2017-12-07,2017,Dec,7,9,Thursday,True,Winter,No Holiday,Yes,0.1,91,Very High,0.8,Calm,0.0,No Rain,0.8,Light,415
2017-12-07,2017,Dec,7,10,Thursday,True,Winter,No Holiday,Yes,1.1,83,Very High,0.7,Calm,0.0,No Rain,0.7,Light,321
2017-12-07,2017,Dec,7,11,Thursday,True,Winter,No Holiday,Yes,2.3,69,High,1.7,Calm,0.0,No Rain,0.6,Light,333
2017-12-07,2017,Dec,7,12,Thursday,True,Winter,No Holiday,Yes,3.7,65,High,2.4,Light,0.0,No Rain,0.3,Light,431
2017-12-07,2017,Dec,7,13,Thursday,True,Winter,No Holiday,Yes,4.1,37,Low,3.1,Light,0.0,No Rain,0.0,No Snow,394
2017-12-07,2017,Dec,7,14,Thursday,True,Winter,No Holiday,Yes,4.4,36,Low,2.7,Light,0.0,No Rain,0.0,No Snow,390
2017-12-07,2017,Dec,7,15,Thursday,True,Winter,No Holiday,Yes,4.0,35,Low,3.1,Light,0.0,No Rain,0.0,No Snow,430
2017-12-07,2017,Dec,7,16,Thursday,True,Winter,No Holiday,Yes,3.2,38,Low,2.9,Light,0.0,No Rain,0.0,No Snow,471
2017-12-07,2017,Dec,7,17,Thursday,True,Winter,No Holiday,Yes,2.1,50,Moderate,2.0,Calm,0.0,No Rain,0.0,No Snow,552
2017-12-07,2017,Dec,7,18,Thursday,True,Winter,No Holiday,Yes,0.7,46,Moderate,2.7,Light,0.0,No Rain,0.0,No Snow,795
2017-12-07,2017,Dec,7,19,Thursday,True,Winter,No Holiday,Yes,-0.4,47,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,507
2017-12-07,2017,Dec,7,20,Thursday,True,Winter,No Holiday,Yes,-1.4,47,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,390
2017-12-07,2017,Dec,7,21,Thursday,True,Winter,No Holiday,Yes,-2.2,46,Moderate,2.2,Light,0.0,No Rain,0.0,No Snow,402
2017-12-07,2017,Dec,7,22,Thursday,True,Winter,No Holiday,Yes,-2.7,48,Moderate,2.6,Light,0.0,No Rain,0.0,No Snow,389
2017-12-07,2017,Dec,7,23,Thursday,True,Winter,No Holiday,Yes,-3.2,50,Moderate,2.1,Light,0.0,No Rain,0.0,No Snow,259
2017-12-08,2017,Dec,8,0,Friday,True,Winter,No Holiday,Yes,-3.5,49,Moderate,2.6,Light,0.0,No Rain,0.0,No Snow,233
2017-12-08,2017,Dec,8,1,Friday,True,Winter,No Holiday,Yes,-3.7,50,Moderate,2.5,Light,0.0,No Rain,0.0,No Snow,230
2017-12-08,2017,Dec,8,2,Friday,True,Winter,No Holiday,Yes,-4.3,53,Moderate,1.0,Calm,0.0,No Rain,0.0,No Snow,131
2017-12-08,2017,Dec,8,3,Friday,True,Winter,No Holiday,Yes,-4.8,52,Moderate,1.6,Calm,0.0,No Rain,0.0,No Snow,99
2017-12-08,2017,Dec,8,4,Friday,True,Winter,No Holiday,Yes,-5.3,53,Moderate,2.4,Light,0.0,No Rain,0.0,No Snow,71
2017-12-08,2017,Dec,8,5,Friday,True,Winter,No Holiday,Yes,-5.8,56,Moderate,2.0,Calm,0.0,No Rain,0.0,No Snow,84
2017-12-08,2017,Dec,8,6,Friday,True,Winter,No Holiday,Yes,-6.0,56,Moderate,3.5,Light,0.0,No Rain,0.0,No Snow,158
2017-12-08,2017,Dec,8,7,Friday,True,Winter,No Holiday,Yes,-6.5,57,Moderate,0.8,Calm,0.0,No Rain,0.0,No Snow,387
2017-12-08,2017,Dec,8,8,Friday,True,Winter,No Holiday,Yes,-7.0,59,Moderate,0.8,Calm,0.0,No Rain,0.0,No Snow,780
2017-12-08,2017,Dec,8,9,Friday,True,Winter,No Holiday,Yes,-6.7,50,Moderate,0.9,Calm,0.0,No Rain,0.0,No Snow,395
2017-12-08,2017,Dec,8,10,Friday,True,Winter,No Holiday,Yes,-5.3,44,Moderate,2.8,Light,0.0,No Rain,0.0,No Snow,261
